source,target,weight
M_18-24_E,M_50-59_C,7218.030095998881
M_18-24_E,F_70-79_C,2093.4378818387654
M_18-24_E,F_60-69_A,196.47916447163968
M_18-24_E,M_25-29_C,6802.655104760018
M_18-24_E,F_60-69_D,1039.1235768705035
M_18-24_E,M_40-49_B,2280.5650601590414
M_18-24_E,M_80-plus_A,45.438787548896045
M_18-24_E,M_60-69_B,812.5877928096978
M_18-24_E,F_60-69_E,2659.2405102775756
M_18-24_E,F_40-49_A,547.5345643041978
M_18-24_E,M_50-59_E,5342.146800557672
M_18-24_E,F_70-79_D,605.3520658904115
M_18-24_E,F_25-29_B,1409.8789651181128
M_18-24_E,F_70-79_A,114.44684816503714
M_18-24_E,F_30-39_E,8647.139798494778
M_18-24_E,M_80-plus_E,614.2682168833945
M_18-24_E,M_25-29_B,1486.578663372756
M_18-24_E,F_25-29_A,352.63064842740954
M_18-24_E,M_60-69_C,3718.8689660687546
M_18-24_E,F_50-59_A,356.816543322917
M_18-24_E,F_25-29_C,6452.1787641940255
M_18-24_E,F_18-24_C,9757.260671546279
M_18-24_E,M_80-plus_D,240.08442249490676
M_18-24_E,M_70-79_C,2129.9475858205215
M_18-24_E,M_30-39_B,2671.3703901641516
M_18-24_E,F_18-24_D,2820.65652248935
M_18-24_E,F_60-69_C,3592.9795101577106
M_18-24_E,F_18-24_A,533.353187262065
M_18-24_E,F_40-49_B,2189.640272193549
M_18-24_E,F_50-59_D,1886.4641922997566
M_18-24_E,F_50-59_B,1425.9695486161825
M_18-24_E,M_30-39_A,667.9920028967173
M_18-24_E,F_50-59_E,4830.0393901708785
M_18-24_E,M_25-29_E,5035.018103579671
M_18-24_E,M_50-59_D,2086.58259510605
M_18-24_E,M_30-39_E,9049.950566360007
M_18-24_E,F_30-39_A,638.6334581357532
M_18-24_E,M_70-79_D,615.6496678811666
M_18-24_E,M_80-plus_C,829.938899034026
M_18-24_E,F_50-59_C,6525.494555720812
M_18-24_E,M_25-29_A,371.89491384092673
M_18-24_E,M_70-79_E,1576.180142309233
M_18-24_E,F_80-plus_E,586.0241602417573
M_18-24_E,F_30-39_C,11682.995960045526
M_18-24_E,F_80-plus_D,229.0454909182918
M_18-24_E,M_50-59_B,1576.7361810564312
M_18-24_E,M_18-24_C,10444.698078491992
M_18-24_E,F_25-29_E,4774.928343481822
M_18-24_E,F_80-plus_C,791.7867877328291
M_18-24_E,M_30-39_C,12226.941766822712
M_18-24_E,M_40-49_E,7726.1572243100845
M_18-24_E,F_40-49_D,2897.5831047608776
M_18-24_E,M_60-69_A,203.32940319008722
M_18-24_E,F_80-plus_B,173.1201743539356
M_18-24_E,F_80-plus_A,43.37776301392148
M_18-24_E,F_18-24_E,7221.56579611633
M_18-24_E,M_18-24_B,2281.840513325486
M_18-24_E,M_80-plus_B,181.43050586486157
M_18-24_E,M_70-79_A,116.42748052454303
M_18-24_E,M_70-79_B,465.1887600038693
M_18-24_E,F_30-39_D,3377.4066793967677
M_18-24_E,M_18-24_A,570.4601283291468
M_18-24_E,M_40-49_C,10438.583066593103
M_18-24_E,M_25-29_D,1966.6060757327184
M_18-24_E,F_40-49_C,10023.290608486515
M_18-24_E,F_70-79_E,1549.0957859588418
M_18-24_E,M_40-49_A,570.1412650375672
M_18-24_E,F_70-79_B,457.27220738246126
M_18-24_E,F_30-39_B,2552.795273493435
M_18-24_E,F_25-29_D,1865.4219197832526
M_18-24_E,M_60-69_E,2753.1196254254874
M_18-24_E,F_40-49_E,7418.535664706193
M_18-24_E,M_30-39_D,3534.746171907753
M_18-24_E,F_60-69_B,785.3839251581338
M_18-24_E,M_40-49_D,3017.708294477147
M_18-24_E,F_18-24_B,2131.48648679975
M_18-24_E,M_60-69_D,1075.304172148781
M_18-24_E,M_50-59_A,394.4494876665236
M_18-24_E,M_18-24_D,3018.78324398281
M_50-59_C,F_70-79_C,1973.9888795023055
M_50-59_C,F_60-69_A,184.1170663301994
M_50-59_C,M_25-29_C,6392.61143624386
M_50-59_C,F_60-69_D,973.7898583907736
M_50-59_C,M_40-49_B,2138.2253376350795
M_50-59_C,M_80-plus_A,42.6652926288274
M_50-59_C,M_60-69_B,764.1174559290764
M_50-59_C,F_60-69_E,2492.032560269921
M_50-59_C,F_40-49_A,511.3763362773141
M_50-59_C,M_50-59_E,5053.806833752089
M_50-59_C,F_70-79_D,570.8024084170829
M_50-59_C,F_25-29_B,1320.6522394116837
M_50-59_C,F_70-79_A,107.91148001449712
M_50-59_C,F_30-39_E,8091.690493772141
M_50-59_C,M_80-plus_E,576.792486378577
M_50-59_C,M_25-29_B,1396.872154107442
M_50-59_C,F_25-29_A,330.31457920472275
M_50-59_C,M_60-69_C,3497.2819546538635
M_50-59_C,F_50-59_A,338.12442152292385
M_50-59_C,F_25-29_C,6044.331080687673
M_50-59_C,F_18-24_C,9095.675623115016
M_50-59_C,M_80-plus_D,225.43932714889888
M_50-59_C,M_70-79_C,1999.421073742727
M_50-59_C,M_30-39_B,2493.4164800386397
M_50-59_C,F_18-24_D,2629.3152709690535
M_50-59_C,F_60-69_C,3367.1483486428588
M_50-59_C,F_18-24_A,497.0253082953905
M_50-59_C,F_40-49_B,2045.0379126733214
M_50-59_C,F_50-59_D,1787.6608416130543
M_50-59_C,F_50-59_B,1351.2647973733046
M_50-59_C,M_30-39_A,623.4942939157236
M_50-59_C,F_50-59_E,4577.076581263852
M_50-59_C,M_25-29_E,4731.3892564073185
M_50-59_C,M_50-59_D,1973.9550944091077
M_50-59_C,M_30-39_E,8447.581659595711
M_50-59_C,F_30-39_A,597.5800877760211
M_50-59_C,M_70-79_D,577.9078282490036
M_50-59_C,M_80-plus_C,779.3281805372343
M_50-59_C,F_50-59_C,6183.784176833183
M_50-59_C,M_25-29_A,349.3755092318145
M_50-59_C,M_70-79_E,1479.5524009358721
M_50-59_C,F_80-plus_E,548.6596788350904
M_50-59_C,F_30-39_C,10932.853566450629
M_50-59_C,F_80-plus_D,214.44289358847402
M_50-59_C,M_50-59_B,1491.6297584778677
M_50-59_C,M_18-24_C,9754.850903750945
M_50-59_C,F_25-29_E,4473.0260850823925
M_50-59_C,F_80-plus_C,741.3218213302333
M_50-59_C,M_30-39_C,11413.5032268564
M_50-59_C,M_40-49_E,7244.306413606824
M_50-59_C,F_40-49_D,2706.3812357479715
M_50-59_C,M_60-69_A,191.20182551292368
M_50-59_C,F_80-plus_B,162.07491372534167
M_50-59_C,F_80-plus_A,40.610783705362344
M_50-59_C,F_18-24_E,6731.658870956037
M_50-59_C,M_18-24_B,2130.869156297728
M_50-59_C,M_80-plus_B,170.35446974275567
M_50-59_C,M_70-79_A,109.28535663008431
M_50-59_C,M_70-79_B,436.64922211394844
M_50-59_C,F_30-39_D,3160.4674749012324
M_50-59_C,M_18-24_A,532.7172890723866
M_50-59_C,M_40-49_C,9787.85856799607
M_50-59_C,M_25-29_D,1848.0233442576643
M_50-59_C,F_40-49_C,9362.130057847551
M_50-59_C,F_70-79_E,1460.679743611135
M_50-59_C,M_40-49_A,534.5563344067194
M_50-59_C,F_70-79_B,431.15712137533257
M_50-59_C,F_30-39_B,2388.6853987022114
M_50-59_C,F_25-29_D,1747.4861088265598
M_50-59_C,M_60-69_E,2589.011027481788
M_50-59_C,F_40-49_E,6929.001970843922
M_50-59_C,M_30-39_D,3299.490183380378
M_50-59_C,F_60-69_B,735.9658829749444
M_50-59_C,M_40-49_D,2829.5170839361504
M_50-59_C,F_18-24_B,1986.7466479144646
M_50-59_C,M_60-69_D,1011.2115567437246
M_50-59_C,M_50-59_A,373.1579355180662
M_50-59_C,M_18-24_D,2819.287833306783
F_70-79_C,F_60-69_A,56.08813683553316
F_70-79_C,M_25-29_C,1857.2471036111426
F_70-79_C,F_60-69_D,296.75036970397014
F_70-79_C,M_40-49_B,624.7086436788169
F_70-79_C,M_80-plus_A,12.43223801658176
F_70-79_C,M_60-69_B,228.06074326073434
F_70-79_C,F_60-69_E,759.5595502970554
F_70-79_C,F_40-49_A,152.40388011348517
F_70-79_C,M_50-59_E,1460.679743611135
F_70-79_C,F_70-79_D,184.8594190692605
F_70-79_C,F_25-29_B,394.62455106284034
F_70-79_C,F_70-79_A,34.94434072232356
F_70-79_C,F_30-39_E,2442.3969043420543
F_70-79_C,M_80-plus_E,168.1640408741367
F_70-79_C,M_25-29_B,405.5344370038058
F_70-79_C,F_25-29_A,98.70121689788847
F_70-79_C,M_60-69_C,1044.6007876800736
